2.77637	-2.415799	1.310154
1.846429	-1.864126	2.127855
2.067011	-1.739254	3.528171
1.140427	-1.16395	4.38713
1.373029	-1.049715	5.767004
0.441125	-0.470068	6.648663
0.677884	-0.368364	8.008459
-0.267731	0.215497	8.91132
-0.016984	0.302049	10.233435
1.210013	-0.187346	10.77101
2.139953	-0.739019	9.953309
1.919372	-0.863891	8.552993
2.845955	-1.439195	7.694034
2.613354	-1.55343	6.31416
3.545258	-2.133077	5.432501
3.308499	-2.234781	4.072705
4.254113	-2.818642	3.169844
4.003366	-2.905194	1.847729
2.194778	5.370009	1.310154
1.264838	5.921682	2.127855
1.485419	6.046554	3.528171
0.558836	6.621858	4.38713
0.791437	6.736093	5.767004
-0.140467	7.31574	6.648663
0.096292	7.417444	8.008459
-0.849322	8.001305	8.91132
-0.598575	8.087857	10.233435
0.628421	7.598462	10.77101
1.558362	7.046789	9.953309
1.33778	6.921917	8.552993
2.264364	6.346613	7.694034
2.031762	6.232378	6.31416
2.963666	5.652731	5.432501
2.726907	5.551027	4.072705
3.672522	4.967166	3.169844
3.421775	4.880614	1.847729
0.477712	1.627535	1.567821
0.806213	2.252038	2.721669
-0.085733	2.261712	3.835045
0.215454	2.908936	5.024363
-0.683301	2.931382	6.104479
-0.392687	3.592217	7.311496
-1.284804	3.602925	8.375448
-0.986342	4.258326	9.6096
-1.865811	4.233178	10.637066
-3.112321	3.555128	10.513343
-3.440822	2.930625	9.359495
-2.548876	2.920952	8.246119
-2.850063	2.273727	7.056801
-1.951308	2.251281	5.976685
-2.241922	1.590446	4.769668
-1.349805	1.579738	3.705716
-1.648267	0.924337	2.471565
-0.768799	0.949485	1.444098
6.517112	1.627535	1.567821
6.845613	2.252038	2.721669
5.953667	2.261712	3.835045
6.254854	2.908936	5.024363
5.356099	2.931382	6.104479
5.646713	3.592217	7.311496
4.754596	3.602925	8.375448
5.053058	4.258326	9.6096
4.173589	4.233178	10.637066
2.927079	3.555128	10.513343
2.598578	2.930625	9.359495
3.490524	2.920952	8.246119
3.189337	2.273727	7.056801
4.088092	2.251281	5.976685
3.797478	1.590446	4.769668
4.689595	1.579738	3.705716
4.391133	0.924337	2.471565
5.270601	0.949485	1.444098
